competitor_id,name,brand,website,address,postcode,city,latitude,longitude,distance_walk_min,distance_bike_min,tier,segment,proposition_notes,last_checked_date
comp-006,YOGADNA,,https://www.yogadna.nl/,"HygiÃ«aplein 7, 1076 RN Amsterdam, Netherlands",,Amsterdam,52.347902,4.863747,2,1,Tier 1,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-039,Beautiful Yoga (Pop Up),,http://beautiful-yoga.nl/,"Kerkstraat 441, 1017 HZ Amsterdam, Netherlands",,Amsterdam,52.363350,4.900755,4,1,Tier 1,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-091,Anima House,,https://anima-house.com/,"Kerkstraat 393-H, 1017 HX Amsterdam, Netherlands",,Amsterdam,52.363085,4.899358,3,1,Tier 1,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-112,Pilates Studio Rosita,,https://www.studiorosita.com/,"Milletstraat, 1077 ZA Amsterdam, Netherlands",,Amsterdam,52.345830,4.868938,4,1,Tier 1,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-117,Glow Yoga Studio Haarlem,,http://glowyogastudio.nl/,"Nieuwe Groenmarkt 35, 2011 TS Haarlem, Netherlands",,Amsterdam,52.382571,4.634281,4,1,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-126,Bliss Yoga Studio Haarlem,,,"Nassaulaan 46, 2011 PD Haarlem, Netherlands",,Amsterdam,52.383541,4.633050,4,1,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-128,Bluebirds Yoga & Welzijn Haarlem,,https://www.blue-birds.nl/,"Rozenstraat 5, 2011 LS Haarlem, Netherlands",,Amsterdam,52.387928,4.634036,4,1,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-132,The Yoga Tree House,,http://www.millionmoons.nl/,"Nassauplein 35, 2011 PG Haarlem, Netherlands",,Amsterdam,52.384767,4.633661,2,1,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-140,Oefenruimte voor Yoga,,http://oefenruimtevooryoga.nl/,"Nieuwe Gracht 20, 2011 NG Haarlem, Netherlands",,Amsterdam,52.384827,4.640939,4,1,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-156,New Health Yoga Therapy,,,"Rozenstraat 5, 2011 LS Haarlem, Netherlands",,Amsterdam,52.387928,4.634036,4,1,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-003,The OMnia Studio | Yoga Studio in Amsterdam Zuid,,https://www.theomniastudio.com/,"Parnassusweg 126, 1076 AT Amsterdam, Netherlands",,Amsterdam,52.343381,4.867704,7,2,Tier 1,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-010,Revive Studio - Mobility and Flexibility Classes,,https://revive-studio.nl/,"Bosboom Toussaintstraat 62, 1054 AV Amsterdam, Netherlands",,Amsterdam,52.365278,4.874723,6,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-020,Andreas Trussat Yoga,,http://www.andreastrussatyoga.com/,"Willemsparkweg 121, 1071 GW Amsterdam, Netherlands",,Amsterdam,52.356441,4.872767,8,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-022,Peter Hin Yoga Amsterdam,,http://www.yogaamsterdam.nl/,"Pieter Cornelisz Hooftstraat 183, 1071 BW Amsterdam, Netherlands",,Amsterdam,52.358681,4.875555,6,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-032,YARAYOGA Amsterdam,,https://www.yarayoga.nl/,"Kinkerstraat 299M, 1053 ET Amsterdam, Netherlands",,Amsterdam,52.364833,4.863263,8,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-033,You Can Yoga,,http://www.youcanyoga.nl/,"Stadionweg 283, 1076 PA Amsterdam, Netherlands",,Amsterdam,52.344809,4.858695,8,2,Tier 1,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-036,City Yoga Amsterdam,,http://www.cityyoga.nl/,"Govert Flinckstraat 324-HS, 1073 CJ Amsterdam, Netherlands",,Amsterdam,52.356535,4.899381,7,2,Tier 1,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-041,De Roos,,http://www.roos.nl/,"Pieter Cornelisz Hooftstraat 183, 1071 BW Amsterdam, Netherlands",,Amsterdam,52.358747,4.875494,6,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-043,Hot Flow Yoga Zuid,,https://www.hotflowyoga.nl/,"Koninginneweg 221, 1075 CS Amsterdam, Netherlands",,Amsterdam,52.352084,4.859291,8,2,Tier 1,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-068,Vondelpark,,https://www.hetvondelpark.net/,"1071 AA Amsterdam, Netherlands",,Amsterdam,52.357995,4.868648,5,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-092,Bewust in Beweging,,http://www.bewustinbeweging.com/,"Pieter Cornelisz Hooftstraat 183, 1071 BW Amsterdam, Netherlands",,Amsterdam,52.358681,4.875535,6,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-095,Arto Esti | Beeldende therapie | EFT & HSP coaching | yin yoga | Amsterdam,,http://www.arto-esti.nl/,"Borgerstraat 102, 1053 PW Amsterdam, Netherlands",,Amsterdam,52.365126,4.865967,6,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-096,CaSa Motion - GYROTONICÂ® & GYROKINESISÂ® Studio,,http://www.casamotion.nl/,"Vondelstraat 11-E, 1054 GC Amsterdam, Netherlands",,Amsterdam,52.362516,4.878620,7,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-097,"MettaMind | yoga, mindfulness & retraites",,http://www.mettamind.nl/,"Pieter Cornelisz Hooftstraat 183, 1071 BW Amsterdam, Netherlands",,Amsterdam,52.358784,4.875529,6,2,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-122,Ontdek Yoga Haarlem,,http://www.ontdek-yoga.nl/,"Begijnhof 20, 2011 HE Haarlem, Netherlands",,Amsterdam,52.382329,4.638990,5,2,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-149,Mindfulness Centrum Haarlem,,https://www.mindfulnesscentrumhaarlem.nl/,"Begijnhof 20, 2011 HE Haarlem, Netherlands",,Amsterdam,52.382329,4.638990,5,2,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-152,Casa Momo haarlem,,https://www.casamomo.nl/,"Gonnetstraat 24, 2011 KA Haarlem, Netherlands",,Amsterdam,52.386504,4.643778,7,2,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-157,Yoga Specials Haarlem,,http://www.yoga-specials.nl/,"Koningstraat 27A, 2011 TB Haarlem, Netherlands",,Amsterdam,52.380483,4.634276,7,2,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-183,Kenamju,,https://www.kenamju.nl/,"Phoenixstraat 13, 2011 KC Haarlem, Netherlands",,Amsterdam,52.385958,4.643418,6,2,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-190,TrainMore,,https://trainmore.com/nl-NL/clubs/haarlem/hortusplein/?utm_source=GMB-Haarlem&utm_medium=GMB&utm_campaign=GMB-direct,"Hortusplein 4, 2019 XV Haarlem, Netherlands",,Amsterdam,52.381598,4.629791,7,2,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-191,SportCity Haarlem Raaks,,https://www.sportcity.nl/haarlem/raaks,"Raaks 7, 2011 VA Haarlem, Netherlands",,Amsterdam,52.382044,4.631489,6,2,Tier 1,yoga studio,nearest_location=Haarlem,2026-01-18
comp-002,Yoga Den,,http://www.yogaden.nl/,"Zeilstraat 34H, 1075 SJ Amsterdam, Netherlands",,Amsterdam,52.351075,4.854509,10,3,Tier 1,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-007,Sukha Yoga,,https://www.sukhayoga.nl/,"Ceintuurbaan 243, 1074 CX Amsterdam, Netherlands",,Amsterdam,52.355817,4.903864,9,3,Tier 1,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-009,Yogaschool Amsterdam,,https://www.yogaschoolamsterdam.nl/,"Kanaalstraat 190, 1054 XS Amsterdam, Netherlands",,Amsterdam,52.361059,4.858437,10,3,Tier 1,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
