offer_id,competitor_id,offer_type,offer_name,class_type,heat,class_length_min,sessions_included,duration_days,price_eur,currency,auto_renew,contract_months,booking_limit,intro_restrictions,source_url,last_checked_date
auto-0001,comp-091,membership,who want to be able to come 15 times a month,,,,,,8,EUR,,,,,https://anima-house.com/pricing/,2026-01-18
auto-0002,comp-010,intro,y & Pilates Classes in Amsterdam Intro offer: 2 classes for EUR 20 Book a class ➜ Schedule Pricing Find a class pack tha,pilates,,,2,,20,EUR,,,,,https://revive-studio.nl/,2026-01-18
auto-0003,comp-010,intro,Intro offer 2 for EUR 20 valid for 2 weeks Book a class ➜ 1 class EUR 19 valid for 1 we,,,,1,14,20,EUR,,,,,https://revive-studio.nl/,2026-01-18
auto-0004,comp-010,unknown,ro offer 2 for EUR 20 valid for 2 weeks Book a class ➜ 1 class EUR 19 valid for 1 week Book a class ➜ 3 classes EUR 50 E,,,,1,14,19,EUR,,,,,https://revive-studio.nl/,2026-01-18
auto-0005,comp-010,membership,ass ➜ 1 class EUR 19 valid for 1 week Book a class ➜ 3 classes EUR 50 EUR 17 per class valid for 1 month Book a class ➜ ,,,,1,30,50,EUR,,,,,https://revive-studio.nl/,2026-01-18
auto-0006,comp-010,membership,➜ 1 class EUR 19 valid for 1 week Book a class ➜ 3 classes EUR 50 EUR 17 per class valid for 1 month Book a class ➜ 5 cl,,,,1,30,17,EUR,,,,,https://revive-studio.nl/,2026-01-18
auto-0007,comp-010,membership,50 EUR 17 per class valid for 1 month Book a class ➜ 5 classes EUR 80 EUR 16 per class valid for 2 months Book a class ➜,,,,5,30,80,EUR,,,,,https://revive-studio.nl/,2026-01-18
auto-0008,comp-010,membership,17 per class valid for 1 month Book a class ➜ 5 classes EUR 80 EUR 16 per class valid for 2 months Book a class ➜ 10 cla,,,,5,30,16,EUR,,,,,https://revive-studio.nl/,2026-01-18
auto-0009,comp-010,membership,EUR 16 per class valid for 2 months Book a class ➜ 10 classes EUR 150 EUR 15 per class valid for 4 month Book a class ➜ ,,,,10,,150,EUR,,,,,https://revive-studio.nl/,2026-01-18
auto-0010,comp-010,membership,per class valid for 2 months Book a class ➜ 10 classes EUR 150 EUR 15 per class valid for 4 month Book a class ➜ Our cla,,,,10,,15,EUR,,,,,https://revive-studio.nl/,2026-01-18
auto-0011,comp-096,intro,"3 Intake Privé Trainingen - EUR 150,- Reserveer nu",,,,,,150.,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0012,comp-096,intro,"gen - EUR 150,- Reserveer nu",,,,,,20.,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0013,comp-096,intro,"GYROTONIC® Privé - Proefpakket van 3 lessen EUR 150,00 GYROTONIC® Privé - Enkele les EUR 70,00 GYROTONIC® Privé - 10",,,,3,,150.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0014,comp-096,pack,"efpakket van 3 lessen EUR 150,00 GYROTONIC® Privé - Enkele les EUR 70,00 GYROTONIC® Privé - 10 lessenkaart EUR 595,00 (t",,,,3,,70.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0015,comp-096,membership,"Privé - Enkele les EUR 70,00 GYROTONIC® Privé - 10 lessenkaart EUR 595,00 (te gebruiken binnen 3 maanden) GYROTONIC® Pri",,,,10,30,595.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0016,comp-096,membership,"bruiken binnen 3 maanden) GYROTONIC® Privé - 12 lessenkaart EUR 645,00 (te gebruiken binnen 2 maanden) Duo en Trio train",,,,12,30,645.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0017,comp-096,pack,"GYROTONIC® Duo - Enkele les EUR 85,00 GYROTONIC® Duo - 5 lessenkaart EUR 375,00 (te gebruiken binnen",,,,5,,85.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0018,comp-096,membership,"NIC® Duo - Enkele les EUR 85,00 GYROTONIC® Duo - 5 lessenkaart EUR 375,00 (te gebruiken binnen 2 maanden) GYROTONIC® Tri",,,,5,30,375.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0019,comp-096,membership,"te gebruiken binnen 2 maanden) GYROTONIC® Trio - Enkele les EUR 100,00 GYROTONIC® Trio - 5 lessenkaart EUR 450,00 (te ge",,,,5,30,100.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0020,comp-096,membership,"® Trio - Enkele les EUR 100,00 GYROTONIC® Trio - 5 lessenkaart EUR 450,00 (te gebruiken binnen 2 maanden) GYROTONIC® & G",,,,5,30,450.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0021,comp-096,intro,"n 2 maanden) GYROTONIC® & GYROKINESIS® Groepsles - Proefles EUR 20,00 GYROTONIC®/GYROKINESIS® Groepsles - Enkele les EUR",,,,,30,20.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0022,comp-096,pack,"efles EUR 20,00 GYROTONIC®/GYROKINESIS® Groepsles - Enkele les EUR 30,00 GYROTONIC®/GYROKINESIS® Groepsles– 10 lessenkaa",,,,10,,30.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0023,comp-096,membership,"es EUR 30,00 GYROTONIC®/GYROKINESIS® Groepsles– 10 lessenkaart EUR 250,00 (te gebruiken binnen 3 maanden)",,,,10,30,250.00,EUR,,,,,https://www.casamotion.nl/prices/,2026-01-18
auto-0024,comp-152,pack,Huur al vanaf EUR 50 per uur,,,,,,50,EUR,,,,,https://www.casamomo.nl/,2026-01-18
